id,intitule,description,dateCreation,dateActualisation,lieuTravail_libelle,lieuTravail_commune,romeCode,entreprise_nom,typeContrat,experienceLibelle,alternance,origineOffre_urlOrigine,origineOffre_partenaires,dureeTravailLibelle,secteurActiviteLibelle,salaire_libelle,competences,qualitesProfessionnelles,contact_coordonnees1
180MGNY,Apprenti développeur IA (H/F),"France Travail et Dawan s'associent pour la mise en place d'une POE Développeur Intelligence Artificielle. Les candidats recrutés pour la POE intègreront ensuite le poste de « Concepteur développeur d'applications intelligentes » au sein de l'entreprise Jehann, sous contrat d'apprentissage.

Les apprentis recrutés prépareront le diplôme suivant (selon niveau) avec l'école Pardawan :

- ""Titre Professionnel Concepteur Développeur d'Applications"" (Bac+3)
- ""Mastère Européen Expert IT Applications Intelligentes et Big Data"" (Bac+5).

Programme Bac+3 : https://pardawan.com/#/nos-formations-diplomantes/concepteur-developpeur-applications
Programme Bac+5 : https://pardawan.com/#/nos-formations-diplomantes/mastere%E2%80%93europeen%E2%80%93expert%E2%80%93it%E2%80%93applications%E2%80%93intelligentes%E2%80%93et%E2%80%93big%E2%80%93data

DÉTAIL DE L'OFFRE

1. La POE Développeur IA

La POE permettra une intégration optimale et pérenne des futurs apprentis à leur poste de Concepteur d'applications intelligentes.

- Dates : 30/09/2024 - 16/01/2025
- Modalités : Formation en présentiel et en distanciel
- Programme : Python, Java-script, React.js, SQL I +A, Django, Git, Linux, OpenAI, Machine Learning

2. Le contrat en alternance : « Concepteur d'applications intelligentes »

- Contrat : le poste à pourvoir est en contrat d'apprentissage
- Démarrage : janvier 2025
- Durée : 1 an en Bac+3 ; 2 ans en Bac+5
- Modalités : présentiel à Bordeaux, Lille, Lyon, Marseille, Montpellier, Nantes, Nice, Paris, Rennes, Strasbourg, Toulouse

Les missions seront les suivantes :

- Réaliser un audit ou un cahier de charge pour concevoir et développer une solution logicielle adaptée à la demande du client
- Piloter un projet de développement logiciel et une équipe
- Livrer le produit au client et assurer la maintenance
- Gérer des projets de développement
- Gérer le cycle de vie logiciel
- Maîtriser les interactions d'une application avec les bases de données
- Connaitre les différentes techniques de tests et de sécurisation du code
- Comprendre et maitriser les enjeux économiques du Big Data et des applications intelligentes

PRÉREQUIS POUR CANDIDATER

POE Développeur IA + contrat d'apprentissage ""Concepteur d'applications intelligentes"" :

- Bac+2 ou BAC+3 validé en Développement Informatique
- Maîtrise des algorithmes
- Anglais B2
- Esprit scientifique, très bonne logique, curiosité intellectuelle
- Très bonnes capacités d'expression écrite et orale

Ce poste nécessite d'avoir une bonne capacité d'analyse, de la précision, de l'autonomie et l'esprit d'équipe. Les personnes qui postulent pour le Bac+5 doivent avoir un vif intérêt pour le management et la gestion de projet.

Votre projet correspond à nos attentes ? Rejoignez-nous !

Pour candidater : sélectionnez la ville et l'emploi souhaité sur https://www.jehann.fr/recrutement
puis renseignez le formulaire sur la page de l'offre d'emploi.

Une réunion d'information collective sera mise en place afin de répondre à l'ensemble des questions préalables au recrutement.

Témoignage de Matthieu, formateur Python chez Dawan :
https://www.youtube.com/embed/c0ZMe2u5LCU",2024-09-03T16:58:39.792Z,2024-11-22T12:31:28.887Z,06 - NICE,06088,M1805,JEHANN,CDD,Débutant accepté,True,https://candidat.francetravail.fr/offres/recherche/detail/180MGNY,,"35H
Travail en journée",Conseil en systèmes et logiciels informatiques,,"[{'code': '300688', 'libelle': 'Application web', 'exigence': 'S'}, {'code': '109846', 'libelle': 'Concevoir une application web', 'exigence': 'S'}, {'code': '300242', 'libelle': 'Déterminer des mesures correctives', 'exigence': 'S'}, {'code': '300366', 'libelle': 'Recueillir et analyser les besoins client', 'exigence': 'S'}, {'code': '300188', 'libelle': 'Rédiger un cahier des charges, des spécifications techniques', 'exigence': 'S'}]","[{'libelle': ""Faire preuve d'autonomie"", 'description': ""Capacité à prendre en charge son activité sans devoir être encadré de façon continue (le cas échéant, à solliciter les autres acteurs de l'entreprise).""}, {'libelle': ""Faire preuve de créativité, d'inventivité"", 'description': 'Capacité à créer, imaginer quelque chose de nouveau (nouveau produit, nouvelle solution, …).'}, {'libelle': 'Faire preuve de rigueur et de précision', 'description': ""Capacité à réaliser des tâches en suivant avec exactitude les règles, les procédures, les instructions qui ont été fournies, sans réaliser d'erreur et à transmettre clairement des informations. Se montrer ponctuel et respectueux des règles de savoir-vivre usuelles.""}]",https://www.jehann.fr/recrutement
180MFWR,Apprenti développeur IA (H/F),"France Travail et Dawan s'associent pour la mise en place d'une POE Développeur Intelligence Artificielle. Les candidats recrutés pour la POE intègreront ensuite le poste de « Concepteur développeur d'applications intelligentes » au sein de l'entreprise Jehann, sous contrat d'apprentissage.

Les apprentis recrutés prépareront le diplôme suivant (selon niveau) avec l'école Pardawan :

- ""Titre Professionnel Concepteur Développeur d'Applications"" (Bac+3)
- ""Mastère Européen Expert IT Applications Intelligentes et Big Data"" (Bac+5).

Programme Bac+3 : https://pardawan.com/#/nos-formations-diplomantes/concepteur-developpeur-applications
Programme Bac+5 : https://pardawan.com/#/nos-formations-diplomantes/mastere%E2%80%93europeen%E2%80%93expert%E2%80%93it%E2%80%93applications%E2%80%93intelligentes%E2%80%93et%E2%80%93big%E2%80%93data

DÉTAIL DE L'OFFRE

1. La POE Développeur IA

La POE permettra une intégration optimale et pérenne des futurs apprentis à leur poste de Concepteur d'applications intelligentes.

- Dates : 30/09/2024 - 16/01/2025
- Modalités : Formation en présentiel et en distanciel
- Programme : Python, Java-script, React.js, SQL I +A, Django, Git, Linux, OpenAI, Machine Learning

2. Le contrat en alternance : « Concepteur d'applications intelligentes »

- Contrat : le poste à pourvoir est en contrat d'apprentissage
- Démarrage : janvier 2025
- Durée : 1 an en Bac+3 ; 2 ans en Bac+5
- Modalités : présentiel à Bordeaux, Lille, Lyon, Marseille, Montpellier, Nantes, Nice, Paris, Rennes, Strasbourg, Toulouse

Les missions seront les suivantes :

- Réaliser un audit ou un cahier de charge pour concevoir et développer une solution logicielle adaptée à la demande du client
- Piloter un projet de développement logiciel et une équipe
- Livrer le produit au client et assurer la maintenance
- Gérer des projets de développement
- Gérer le cycle de vie logiciel
- Maîtriser les interactions d'une application avec les bases de données
- Connaitre les différentes techniques de tests et de sécurisation du code
- Comprendre et maitriser les enjeux économiques du Big Data et des applications intelligentes

PRÉREQUIS POUR CANDIDATER

POE Développeur IA + contrat d'apprentissage ""Concepteur d'applications intelligentes"" :

- Bac+2 ou BAC+3 validé en Développement Informatique
- Maîtrise des algorithmes
- Anglais B2
- Esprit scientifique, très bonne logique, curiosité intellectuelle
- Très bonnes capacités d'expression écrite et orale

Ce poste nécessite d'avoir une bonne capacité d'analyse, de la précision, de l'autonomie et l'esprit d'équipe. Les personnes qui postulent pour le Bac+5 doivent avoir un vif intérêt pour le management et la gestion de projet.

Votre projet correspond à nos attentes ? Rejoignez-nous !

Pour candidater : sélectionnez la ville et l'emploi souhaité sur https://www.jehann.fr/recrutement
puis renseignez le formulaire sur la page de l'offre d'emploi.

Une réunion d'information collective sera mise en place afin de répondre à l'ensemble des questions préalables au recrutement.

Témoignage de Matthieu, formateur Python chez Dawan :
https://www.youtube.com/embed/c0ZMe2u5LCU",2024-09-03T16:47:21.998Z,2024-11-22T12:30:54.204Z,13 - MARSEILLE 02,13202,M1805,JEHANN,CDD,Débutant accepté,True,https://candidat.francetravail.fr/offres/recherche/detail/180MFWR,,"35H
Travail en journée",Conseil en systèmes et logiciels informatiques,,"[{'code': '300688', 'libelle': 'Application web', 'exigence': 'S'}, {'code': '109846', 'libelle': 'Concevoir une application web', 'exigence': 'S'}, {'code': '300242', 'libelle': 'Déterminer des mesures correctives', 'exigence': 'S'}, {'code': '300366', 'libelle': 'Recueillir et analyser les besoins client', 'exigence': 'S'}, {'code': '300188', 'libelle': 'Rédiger un cahier des charges, des spécifications techniques', 'exigence': 'S'}]","[{'libelle': ""Faire preuve d'autonomie"", 'description': ""Capacité à prendre en charge son activité sans devoir être encadré de façon continue (le cas échéant, à solliciter les autres acteurs de l'entreprise).""}, {'libelle': ""Faire preuve de créativité, d'inventivité"", 'description': 'Capacité à créer, imaginer quelque chose de nouveau (nouveau produit, nouvelle solution, …).'}, {'libelle': 'Faire preuve de rigueur et de précision', 'description': ""Capacité à réaliser des tâches en suivant avec exactitude les règles, les procédures, les instructions qui ont été fournies, sans réaliser d'erreur et à transmettre clairement des informations. Se montrer ponctuel et respectueux des règles de savoir-vivre usuelles.""}]",https://www.jehann.fr/recrutement
180RQXB,Développeur  (H/F),"Vos missions:
Au sein du département IT, en tant que Développeur(euse), vous vous épanouirez dal suivantes :
- Concevoir, développer, tester et maintenir des applications logicielles de haute qualité ; - Collaborer étroitement avec les équipes de projet pour comprendre les besoins techniques; - Gestion de projets de développement ; - Participer à la revue du code et s'assurer du respect des meilleures pratiques de développ - Contribuer à l'amélioration continue des processus de développement et des outils utilisé - Rédiger une documentation technique claire et concise ; - Assurer le support technique et la maintenance des applications existantes.
Compétences requises:
- Solides compétences en JavaScript, PHP :
- Expérience avec la technologie MERN (MongoDB, Express, React et Node), SQL
(MariaDB) :
- Connaissance du système exploitation Linux (Debian) et du logicjel Apache ; - Maîtrise des outils de versioning (Gitlab, Pipeline CI/CD) :
- Capacité à résoudre des problèmes techniques complexes de manière autonome ; - Excellentes compétences en communication et capacité à travailler en autonomie avec des profils variés.
Profil recherché :
- Titulaire d'un diplôme en informatique ou domaine connexe (Bac+3, Bac+5) :
- Vous avez une première expérience sur un poste similaire ; - Passionné(e) par le développement et les nouvelles technologies ; - Capacité d'apprentissage rapide et ouverture aux nouvelles méthodes et outils:
- Un esprit d'initiative et une attitude proactive.
Nous rejoindre c'est :
- Une équipe passionnée !
- Des possibilités de développement professionnel !
- Une politique sociale attrayante : 13ème mois, mutuelle I prise en charge à 100%, un accord d'intéressement, une offre de restauration avantageuse, un accès au club des sports, des tarifs préférentiels, ...
",2024-09-06T13:39:45.029Z,2024-11-08T09:56:09.515Z,83 - LE CASTELLET,83035,M1805,CIRCUIT PAUL RICARD,CDI,2 An(s),False,https://candidat.francetravail.fr/offres/recherche/detail/180RQXB,,"35H
Travail en journée",Gestion d'installations sportives,,"[{'code': '300688', 'libelle': 'Application web', 'exigence': 'S'}, {'code': '109846', 'libelle': 'Concevoir une application web', 'exigence': 'S'}, {'code': '300242', 'libelle': 'Déterminer des mesures correctives', 'exigence': 'S'}, {'code': '300366', 'libelle': 'Recueillir et analyser les besoins client', 'exigence': 'S'}, {'code': '300188', 'libelle': 'Rédiger un cahier des charges, des spécifications techniques', 'exigence': 'S'}]",,"165 CHEMIN DES NEGADOUX
CS 60220"
3651168,Développeur JAVA (H/F),"Description du poste :
Dans le cadre de nos activités de développement logiciel, nous sommes à la recherche d'un Développeur Java / J2EE (H/F) pour rejoindre nos équipes basées en région Bordelaise. Vous évoluerez dans un environnement stimulant où les méthodes Agile telles que Scrum et Kanban sont pleinement intégrées. Votre rôle consistera à participer à toutes les phases du cycle de vie du projet, incluant les études, la conception et l'architecture, la rédaction des spécifications, le développement et les tests.
Description du profil :***Formation en informatique, de niveau Bac+2 à Bac+5 (Ingénieur ou Universitaire).
* Expérience minimale de deux ans en entreprise.
* Compétences solides en Java, J2EE et familiarité avec plusieurs des technologies suivantes :
  - Langages : Java, J2EE, Javascript...
  - Frameworks : Spring, Struts, Hibernate, AngularJS, JQuery, Bootstrap...
  - Outils : Git, SVN, Maven, Jenkins, Sonar, Apache/Tomcat, JBoss, Websphere, MySQL, PostgreSQL, MongoDB, Oracle...
  - Méthodes Agiles : Scrum, Behavior Driven Development (BDD), Kanban...
* Passion pour les nouvelles technologies et excellentes capacités relationnelles.
* Goût prononcé pour le travail en équipe et engagement à participer à des projets techniques de grande valeur.",2024-09-07T11:44:56.000Z,2024-11-06T02:51:36.000Z,44 - NANTES,44109,M1805,,LIB,Expérience exigée de 1 An(s),False,https://candidat.francetravail.fr/offres/recherche/detail/3651168,"[{'nom': 'METEOJOB', 'url': 'https://www.meteojob.com/jobads/40160391?utm_source=pole-emploi&utm_medium=aggregator-free', 'logo': 'https://www.francetravail.fr/logos/img/partenaires/meteojob80.png'}]",,,,,,
3650778,Développeur JAVA JEE (H/F),"Description du poste :
Dans le cadre de nos activités de développement logiciel, nous sommes à la recherche d'un Développeur Java / J2EE (H/F) pour rejoindre nos équipes basées en région Bordelaise. Vous évoluerez dans un environnement stimulant où les méthodes Agile telles que Scrum et Kanban sont pleinement intégrées. Votre rôle consistera à participer à toutes les phases du cycle de vie du projet, incluant les études, la conception et l'architecture, la rédaction des spécifications, le développement et les tests.
Description du profil :***Formation en informatique, de niveau Bac+2 à Bac+5 (Ingénieur ou Universitaire).
* Expérience minimale de deux ans en entreprise.
* Compétences solides en Java, J2EE et familiarité avec plusieurs des technologies suivantes :
  - Langages : Java, J2EE, Javascript...
  - Frameworks : Spring, Struts, Hibernate, AngularJS, JQuery, Bootstrap...
  - Outils : Git, SVN, Maven, Jenkins, Sonar, Apache/Tomcat, JBoss, Websphere, MySQL, PostgreSQL, MongoDB, Oracle...
  - Méthodes Agiles : Scrum, Behavior Driven Development (BDD), Kanban...
* Passion pour les nouvelles technologies et excellentes capacités relationnelles.
* Goût prononcé pour le travail en équipe et engagement à participer à des projets techniques de grande valeur.",2024-09-07T11:42:31.000Z,2024-11-06T02:47:39.000Z,33 - BORDEAUX,33063,M1805,,LIB,Expérience exigée de 1 An(s),False,https://candidat.francetravail.fr/offres/recherche/detail/3650778,"[{'nom': 'METEOJOB', 'url': 'https://www.meteojob.com/jobads/40160388?utm_source=pole-emploi&utm_medium=aggregator-free', 'logo': 'https://www.francetravail.fr/logos/img/partenaires/meteojob80.png'}]",,,,,,
3651651,Développeur JAVA (H/F),"Description du poste :
Dans le cadre de nos activités de développement logiciel, nous sommes à la recherche d'un Développeur Java / J2EE (H/F) pour rejoindre nos équipes basées en région Bordelaise. Vous évoluerez dans un environnement stimulant où les méthodes Agile telles que Scrum et Kanban sont pleinement intégrées. Votre rôle consistera à participer à toutes les phases du cycle de vie du projet, incluant les études, la conception et l'architecture, la rédaction des spécifications, le développement et les tests.
Description du profil :***Formation en informatique, de niveau Bac+2 à Bac+5 (Ingénieur ou Universitaire).
* Expérience minimale de deux ans en entreprise.
* Compétences solides en Java, J2EE et familiarité avec plusieurs des technologies suivantes :
  - Langages : Java, J2EE, Javascript...
  - Frameworks : Spring, Struts, Hibernate, AngularJS, JQuery, Bootstrap...
  - Outils : Git, SVN, Maven, Jenkins, Sonar, Apache/Tomcat, JBoss, Websphere, MySQL, PostgreSQL, MongoDB, Oracle...
  - Méthodes Agiles : Scrum, Behavior Driven Development (BDD), Kanban...
* Passion pour les nouvelles technologies et excellentes capacités relationnelles.
* Goût prononcé pour le travail en équipe et engagement à participer à des projets techniques de grande valeur.",2024-09-07T11:47:48.000Z,2024-11-06T02:57:12.000Z,79 - NIORT,79191,M1805,,LIB,Expérience exigée de 1 An(s),False,https://candidat.francetravail.fr/offres/recherche/detail/3651651,"[{'nom': 'METEOJOB', 'url': 'https://www.meteojob.com/jobads/40160390?utm_source=pole-emploi&utm_medium=aggregator-free', 'logo': 'https://www.francetravail.fr/logos/img/partenaires/meteojob80.png'}]",,,,,,
3878951,DÉVELOPPEUR JAVA J2EE (H/F),"Nous recherchons pour le compte de notre client, société en pleine expansion, un(e) Développeur Java J2ee.Rattaché au chef de projets, vous êtes recruté pour prendre en charge le développement d'applications en environnement Java J2ee.
Vous recueillez et analysez le besoin utilisateur, rédigez les spécifications et assurez la conception.
Vous développez les nouvelles fonctionnalités logicielles, assurez les tests unitaires et la résolution des problèmes identifiés.
Vous participez à l'intégration continue de nouvelles fonctionnalités et réalisez la documentation associée.
Ce poste, basé à ORLEANS est à pourvoir dans le cadre d'un contrat 
La rémunération brute annuelle est à négocier selon votre expérience.",2024-09-11T09:04:54.000Z,2024-10-11T19:35:48.000Z,45 - ORLEANS,45234,M1805,Expectra,CDI,Expérience exigée de 3 An(s),False,https://candidat.francetravail.fr/offres/recherche/detail/3878951,"[{'nom': 'HANDICAP_JOB', 'url': 'https://www.handicap-job.com/recherche/detail/oid/5978957/developpeur-java-j2ee-fh.html', 'logo': 'https://www.francetravail.fr/logos/img/partenaires/handicap_job80.png'}]",,,,,,
3943463,Développeur informatique industriel (H/F) - CONSERVERIE CHANCERELLE,"Dans le cadre d'un développement d'activité, nous recrutons en CDD de 12 mois, un(e) :
 Développeur informatique industriel (H/F)
 Rattaché(e) au responsable automatismes et réseaux informatiques industriels, vous aurez pour rôle principal de développer et maintenir en fonctionnement le réseau industriel et le parc d'automates connectés.
 A ce titre vous aurez pour missions :
  
  
- Le déploiement et le maintien de l'infrastructure 
- Le développement de notre supervision industrielle Topkapi 
- La Gestion de la redondance des équipements et des systèmes 
- L'extraction de données à des fins statistiques 
- La sécurisation du stockage de données 
- La réalisation de veille technologique 
- L'apport d'un support technique aux utilisateurs 
Titulaire d'une formation supérieure en informatique industrielle, les langages informatiques industriels n'ont pas de secrets pour vous. Nous recherchons une personne curieuse et passionnée par le monde de l'industrie et de l'informatique.
 CDD de 12 mois
 La maitrise de l'anglais technique est nécessaire sur ce poste.
 Vous souhaitez participer au succès de la maison CHANCERELLE et rejoindre une entreprise où les valeurs humaines sont essentielles ? Rejoignez notre boîte !",2024-09-12T06:53:07.000Z,2024-09-12T06:53:07.000Z,29 - DOUARNENEZ,29046,M1805,CONSERVERIE CHANCERELLE,CDD,Expérience exigée de 2 An(s),False,https://candidat.francetravail.fr/offres/recherche/detail/3943463,"[{'nom': 'WE_RECRUIT', 'url': 'https://careers.werecruit.io/fr/conserverie-chancerelle/offres/developpeur-informatique-industriel-hf-bdf74b?utm_source=francetravail&utm_medium=job-board', 'logo': 'https://www.francetravail.fr/logos/img/partenaires/we_recruit80.png'}]",,"Transformation et conservation de poisson, de crustacés et de mollusques",,,,
4015022,Orisha Retail - Chains - Développeur / Développeuse informatique (H/F),"Qui sommes nous?
Fondé en 2003, Orisha est un éditeur européen de logiciels dédiés principalement aux entreprises du retail, de l'immobilier, de la santé, du BTP et de l'agrifood. Depuis sa création, Orisha guide les entreprises vers le succès en leur proposant des solutions spécifiques à leur métier et indispensables à leur activité.
Orisha réalise plus de 200m€ de chiffre d'affaires et compte plus de 1800 collaborateurs.
Ginkoia filiale d'Orisha réunit 87 femmes et hommes investis dans la volonté commune d'offrir des solutions innovantes et différenciantes aux acteurs du commerce sport, dans une ambiance conviviale et chaleureuse. Leader du logiciel magasin pour la distribution sport, Orisha Ginkoia connaît une croissance forte et recrute.
Aujourd'hui plus de 1650 clients nous font confiance !
Aperçu du poste :
Nous recrutons un(e) développeur/se automatisation des tests en alternance pour rejoindre nos équipes à Passy en Haute-Savoie.
Rattaché(e) à la Direction Recherche et Développement, le (la) Développeur(euse) automatisation des tests en alternance a pour objectif de concevoir et réaliser des automates de tests au sein d'une équipe.
Tes missions principales
Concevoir et maintenir des automates de tests sur nos fronts avec Uipath
Maintenir les tests unitaires Api avec postman.
Concevoir et optimiser les tests automatisés avec le framework cypress (back et front)
Décrire les scénarios, les implémenter et fournir ces tests à la qualité pour leur exécution dans la chaine CI/CD
Analyser les spécifications techniques du projet, en fonction du besoin
Appliquer les bonnes pratiques et respecter les procédures de l'équipe
Maîtriser les outils mis à sa disposition
Organiser le gestionnaire de code source, les plateformes de développement, de préprod et de prod
La mise au point des automates de tests
La rédaction et mise à jour des documentations (règles de gestion, documentations techniques, etc,.)
Ce que nous offrons :
Contrat d'apprentissage ou de professionnalisation basé à Passy
À pourvoir dès que possible
Rémunération selon niveau d'études + âge
Ton profil
Tu prépares un diplôme d'études supérieur en informatique
L'envie d'apprendre !
Une expérience dans le Retail et le milieu de l'édition de logiciel serait un plus
Tes compétences
Node Js et Javascript (pour postman)
Principe des api
Connaissance un langage/outil devops (GitHub, Azure devops, Terraform, Jira)
SQL (PostgreSql, SQL server, Mysql)
Tes qualités
Esprit d'équipe
Curiosité
Logique
Rigueur
Tu te reconnais dans les valeurs d'entraide, de respect et de convivialité avec tes collègues. Par ton implication, tu aimes contribuer à la réussite des objectifs de ton entreprise et de ses collaborateurs(trices).
Tous nos postes sont ouverts aux personnes en situation de handicap.",2024-09-13T03:43:31.000Z,2024-09-13T03:43:31.000Z,74 - PASSY,74208,M1805,Orisha Retail - Chains,CDD,Débutant accepté,True,https://candidat.francetravail.fr/offres/recherche/detail/4015022,"[{'nom': 'DIGITAL RECRUITERS', 'url': 'https://careers.orisha.com/fr/annonce/3234443-developpeurse-automatisation-des-tests-en-alternance-74190-passy?s_o=P%C3%B4le+emploi&s_b=DigitalRecruiters', 'logo': 'https://www.francetravail.fr/logos/img/partenaires/digitalrecruiters80.png'}]",,Fonds de placement et entités financières similaires,,,,
4015022,Orisha Retail - Chains - Développeur / Développeuse informatique (H/F),"Qui sommes nous?
Fondé en 2003, Orisha est un éditeur européen de logiciels dédiés principalement aux entreprises du retail, de l'immobilier, de la santé, du BTP et de l'agrifood. Depuis sa création, Orisha guide les entreprises vers le succès en leur proposant des solutions spécifiques à leur métier et indispensables à leur activité.
Orisha réalise plus de 200m€ de chiffre d'affaires et compte plus de 1800 collaborateurs.
Ginkoia filiale d'Orisha réunit 87 femmes et hommes investis dans la volonté commune d'offrir des solutions innovantes et différenciantes aux acteurs du commerce sport, dans une ambiance conviviale et chaleureuse. Leader du logiciel magasin pour la distribution sport, Orisha Ginkoia connaît une croissance forte et recrute.
Aujourd'hui plus de 1650 clients nous font confiance !
Aperçu du poste :
Nous recrutons un(e) développeur/se automatisation des tests en alternance pour rejoindre nos équipes à Passy en Haute-Savoie.
Rattaché(e) à la Direction Recherche et Développement, le (la) Développeur(euse) automatisation des tests en alternance a pour objectif de concevoir et réaliser des automates de tests au sein d'une équipe.
Tes missions principales
Concevoir et maintenir des automates de tests sur nos fronts avec Uipath
Maintenir les tests unitaires Api avec postman.
Concevoir et optimiser les tests automatisés avec le framework cypress (back et front)
Décrire les scénarios, les implémenter et fournir ces tests à la qualité pour leur exécution dans la chaine CI/CD
Analyser les spécifications techniques du projet, en fonction du besoin
Appliquer les bonnes pratiques et respecter les procédures de l'équipe
Maîtriser les outils mis à sa disposition
Organiser le gestionnaire de code source, les plateformes de développement, de préprod et de prod
La mise au point des automates de tests
La rédaction et mise à jour des documentations (règles de gestion, documentations techniques, etc,.)
Ce que nous offrons :
Contrat d'apprentissage ou de professionnalisation basé à Passy
À pourvoir dès que possible
Rémunération selon niveau d'études + âge
Ton profil
Tu prépares un diplôme d'études supérieur en informatique
L'envie d'apprendre !
Une expérience dans le Retail et le milieu de l'édition de logiciel serait un plus
Tes compétences
Node Js et Javascript (pour postman)
Principe des api
Connaissance un langage/outil devops (GitHub, Azure devops, Terraform, Jira)
SQL (PostgreSql, SQL server, Mysql)
Tes qualités
Esprit d'équipe
Curiosité
Logique
Rigueur
Tu te reconnais dans les valeurs d'entraide, de respect et de convivialité avec tes collègues. Par ton implication, tu aimes contribuer à la réussite des objectifs de ton entreprise et de ses collaborateurs(trices).
Tous nos postes sont ouverts aux personnes en situation de handicap.",2024-09-13T03:43:31.000Z,2024-09-13T03:43:31.000Z,74 - PASSY,74208,M1805,Orisha Retail - Chains,CDD,Débutant accepté,True,https://candidat.francetravail.fr/offres/recherche/detail/4015022,"[{'nom': 'DIGITAL RECRUITERS', 'url': 'https://careers.orisha.com/fr/annonce/3234443-developpeurse-automatisation-des-tests-en-alternance-74190-passy?s_o=P%C3%B4le+emploi&s_b=DigitalRecruiters', 'logo': 'https://www.francetravail.fr/logos/img/partenaires/digitalrecruiters80.png'}]",,Fonds de placement et entités financières similaires,,,,
